X0,Z1,X2,Z3,Z4,X5,X6,Z7,Labels
-1,1,1,1,1,1,1,1,['X00']
-1,1,-1,1,1,1,1,1,['X01']
1,1,-1,1,1,1,1,1,['X02']
1,1,1,1,1,-1,1,1,['X10']
1,1,-1,1,1,-1,1,1,['X11']
1,1,-1,1,1,1,1,1,['X12']
1,1,1,1,1,-1,1,1,['X20']
1,1,1,1,1,-1,-1,1,['X21']
1,1,1,1,1,1,-1,1,['X22']
1,-1,1,1,1,1,1,1,['Z00']
1,-1,1,1,1,1,1,1,['Z01']
1,1,1,-1,1,1,1,1,['Z02']
1,-1,1,1,-1,1,1,1,['Z10']
1,-1,1,1,1,1,1,-1,['Z11']
1,1,1,-1,1,1,1,-1,['Z12']
1,1,1,1,-1,1,1,1,['Z20']
1,1,1,1,1,1,1,-1,['Z21']
1,1,1,1,1,1,1,-1,['Z22']
-1,-1,1,1,1,1,1,1,"['X00', 'Z00']"
-1,-1,-1,1,1,1,1,1,"['X01', 'Z01']"
1,1,-1,-1,1,1,1,1,"['X02', 'Z02']"
1,-1,1,1,-1,-1,1,1,"['X10', 'Z10']"
1,-1,-1,1,1,-1,1,-1,"['X11', 'Z11']"
1,1,-1,-1,1,1,1,-1,"['X12', 'Z12']"
1,1,1,1,-1,-1,1,1,"['X20', 'Z20']"
1,1,1,1,1,-1,-1,-1,"['X21', 'Z21']"
1,1,1,1,1,1,-1,-1,"['X22', 'Z22']"
1,1,1,1,1,1,1,1,[]
