Labels,XSyn,ZSyn
['X00'],"[(0, -0.5, 0.5)]",[]
['X01'],"[(0, -0.5, 0.5), (0, 0.5, 1.5)]",[]
['X02'],"[(0, 0.5, 1.5)]",[]
['X10'],"[(0, 1.5, 0.5)]",[]
['X11'],"[(0, 0.5, 1.5), (0, 1.5, 0.5)]",[]
['X12'],"[(0, 0.5, 1.5)]",[]
['X20'],"[(0, 1.5, 0.5)]",[]
['X21'],"[(0, 1.5, 0.5), (0, 2.5, 1.5)]",[]
['X22'],"[(0, 2.5, 1.5)]",[]
['Z00'],[],"[(0, 0.5, 0.5)]"
['Z01'],[],"[(0, 0.5, 0.5)]"
['Z02'],[],"[(0, 0.5, 2.5)]"
['Z10'],[],"[(0, 0.5, 0.5), (0, 1.5, -0.5)]"
['Z11'],[],"[(0, 0.5, 0.5), (0, 1.5, 1.5)]"
['Z12'],[],"[(0, 0.5, 2.5), (0, 1.5, 1.5)]"
['Z20'],[],"[(0, 1.5, -0.5)]"
['Z21'],[],"[(0, 1.5, 1.5)]"
['Z22'],[],"[(0, 1.5, 1.5)]"
"['X00', 'Z00']","[(0, -0.5, 0.5)]","[(0, 0.5, 0.5)]"
"['X01', 'Z01']","[(0, -0.5, 0.5), (0, 0.5, 1.5)]","[(0, 0.5, 0.5)]"
"['X02', 'Z02']","[(0, 0.5, 1.5)]","[(0, 0.5, 2.5)]"
"['X10', 'Z10']","[(0, 1.5, 0.5)]","[(0, 0.5, 0.5), (0, 1.5, -0.5)]"
"['X11', 'Z11']","[(0, 0.5, 1.5), (0, 1.5, 0.5)]","[(0, 0.5, 0.5), (0, 1.5, 1.5)]"
"['X12', 'Z12']","[(0, 0.5, 1.5)]","[(0, 0.5, 2.5), (0, 1.5, 1.5)]"
"['X20', 'Z20']","[(0, 1.5, 0.5)]","[(0, 1.5, -0.5)]"
"['X21', 'Z21']","[(0, 1.5, 0.5), (0, 2.5, 1.5)]","[(0, 1.5, 1.5)]"
"['X22', 'Z22']","[(0, 2.5, 1.5)]","[(0, 1.5, 1.5)]"
[' '],[],[]
